date,open,high,low,close,Volume ETH,Volume USDT
1/29/2018 0:00,1251.96,1258.89,1161.65,1177.01,105292.7681,126282956.2
1/30/2018 0:00,1177.01,1186.85,1051,1085.5,155278.554,173857602.8
1/31/2018 0:00,1084.63,1135,1029,1124.81,100372.0378,109226169.4
2/1/2018 0:00,1125.96,1164.99,981,1041.94,203355.2905,220810878.7
2/2/2018 0:00,1041.89,1047.2,783.67,922.3,377375.2287,348077470.8
2/3/2018 0:00,923.67,998,851,971,160037.8813,150132852.2
2/4/2018 0:00,971,975,789,823.56,186446.0316,163419119
2/5/2018 0:00,821.6,862.47,634.94,697.92,365516.529,270801309.7
2/6/2018 0:00,697.93,798,570.1,779.25,648944.4204,435291131.1
2/7/2018 0:00,779.99,849,714.18,754,356403.4441,282259408.7
2/8/2018 0:00,753.19,786.93,751,781.66,10516.2619,8110366.55
2/9/2018 0:00,781.66,882.2,781.66,877,95447.67289,81316368.02
2/10/2018 0:00,876.3,911.2,800,851.15,214818.0677,184921265
2/11/2018 0:00,851.15,857,768.28,808.99,189323.408,154647315
2/12/2018 0:00,808.58,877.56,807.46,866.66,143586.9312,122610007.9
2/13/2018 0:00,866.39,871,820,841.57,110305.9354,92966057.38
2/14/2018 0:00,841.57,924.99,841.3,919.09,150342.8556,133514830.9
2/15/2018 0:00,919.09,946.66,895.59,924.55,155637.7852,143817533.1
2/16/2018 0:00,924.55,948.48,901.36,938.67,115540.1635,107292023.6
2/17/2018 0:00,938.6,974,933.48,969.99,110091.0362,105637458.5
2/18/2018 0:00,969.99,978.5,897,911,160129.7952,149501060.9
2/19/2018 0:00,911,956.22,906.04,938.11,80099.49534,75083849.38
2/20/2018 0:00,939.17,961,873,882.99,120056.675,111258170
2/21/2018 0:00,882.99,908.88,812.87,835.89,176200.5515,151739403
2/22/2018 0:00,836.35,871.96,786.6,801.49,137561.8511,112939926.7
2/23/2018 0:00,801.47,885,785.99,851.6,154507.4134,130147658
2/24/2018 0:00,851.59,875,805,833.94,89311.5794,75082869.27
2/25/2018 0:00,833.92,849.5,813.18,841.19,59431.26474,49520472.19
2/26/2018 0:00,841.46,882,833,867.98,74911.4656,64498089.2
2/27/2018 0:00,867.98,897.49,860.69,870.11,63487.68425,55793476.98
2/28/2018 0:00,871.84,891,850.3,853.5,53620.45209,46744924.42
3/1/2018 0:00,853.5,879.96,848.65,870.63,43785.00503,37976139.75
3/2/2018 0:00,870.63,876.22,850,856.28,39436.26006,34068626.38
3/3/2018 0:00,856.27,870.78,852.3,856.02,34170.2942,29487108.37
3/4/2018 0:00,856.51,868,836.24,866.66,29735.01829,25364732.86
3/5/2018 0:00,866.61,871.75,847.2,849.84,30567.79813,26391332.15
3/6/2018 0:00,849.81,853.18,803.01,813.11,48658.06883,40340972.83
3/7/2018 0:00,813.31,826.2,718.4,749.9,109013.2838,83030975.9
3/8/2018 0:00,749.02,772.07,684,695.46,76312.77819,55751521.78
3/9/2018 0:00,695.48,727.92,640,723.71,116545.373,79262060.75
3/10/2018 0:00,723.65,745,673.06,680.58,63012.67972,45345997.5
3/11/2018 0:00,680.58,735,659.15,720.85,73967.35869,51773437.87
3/12/2018 0:00,721,740.5,676.31,697.11,67732.85988,48042091.35
3/13/2018 0:00,696.52,713.76,680,689.94,55735.18315,38651705.85
3/14/2018 0:00,690.16,703.54,585,610.1,89904.25415,57785217.49
3/15/2018 0:00,610.1,621.12,570,608.83,94426.72453,56487242.01
3/16/2018 0:00,608.83,625.3,584.15,599.05,64720.20994,39356556.47
3/17/2018 0:00,599.03,609.26,544,546.95,68022.4592,39167671.25
3/18/2018 0:00,547.98,560,450,537,248817.226,125170992.1
3/19/2018 0:00,537.39,560,515.8,556.88,184798.7706,99812549.64
3/20/2018 0:00,556.88,567.87,515,557,135426.9155,73696454.56
3/21/2018 0:00,557,590.52,545.11,559.17,117019.1732,66572210.67
3/22/2018 0:00,559.15,578.6,516,539.92,111106.1992,60459505.61
3/23/2018 0:00,539.78,544.72,506.71,543.03,106416.0675,55542669.04
3/24/2018 0:00,543.2,545.99,518.63,520.22,87710.78945,46963103.45
3/25/2018 0:00,521.17,536,512,523.74,71903.1713,37482165.18
3/26/2018 0:00,523.95,527.67,465.56,485,151084.2369,74104022.13
3/27/2018 0:00,485,491.55,446,448.5,138188.7604,63816245.43
3/28/2018 0:00,448.5,466,440.14,446.67,89895.47885,40547475.95
3/29/2018 0:00,446.07,449.43,380,384,225341.9432,91719449.93
3/30/2018 0:00,383.87,412.04,366,392.43,292254.7944,112316125.3
3/31/2018 0:00,392.4,419.4,388.52,393.92,167833.594,67461541.59
4/1/2018 0:00,393.93,399.91,356.9,378.58,150493.9942,56620178.35
4/2/2018 0:00,378.58,394.87,375,385.05,113242.1419,43596858.5
4/3/2018 0:00,385,419.08,380.13,415.01,137897.5557,55385110.15
4/4/2018 0:00,415,416.5,370,378.16,140598.3967,54594624.76
4/5/2018 0:00,378.15,387.03,365.61,381.22,120314.0588,45411126.9
4/6/2018 0:00,381.56,385.91,362.54,368.89,74458.69141,27645272.52
4/7/2018 0:00,368.89,394.75,368.28,384.51,71463.42848,27442723.66
4/8/2018 0:00,384.51,404.05,384,400.4,57395.52936,22720923.55
4/9/2018 0:00,400.4,431.99,387.1,399.44,151653.5041,61605245.87
4/10/2018 0:00,399.25,418.68,391.4,416.07,81394.29605,32805764.1
4/11/2018 0:00,415.53,433.54,410.38,429.52,86706.68627,36371404.23
4/12/2018 0:00,429.9,499,412.88,495.67,249766.3832,113968625.3
4/13/2018 0:00,494.3,530,480.22,495.11,251752.0878,127274585
