Date,Open,High,Low,Adj Close,Volume,RSI,EMA_short,EMA_long
4/5/2022,46624.50781,47106.14063,45544.80859,45555.99219,29640604055,57.10832691,44670.98822,43592.79955
4/6/2022,45544.35547,45544.35547,43193.95313,43206.73828,39393395788,47.59323932,44531.53584,43585.15477
4/7/2022,43207.5,43860.69922,42899.90625,43503.84766,26101973106,48.75029523,44433.66078,43583.54473
4/8/2022,43505.13672,43903.01953,42183.28906,42287.66406,27215995394,44.44650901,44229.28014,43557.88373
4/9/2022,42282.07813,42786.81641,42183.25391,42782.13672,16050772496,46.50383199,44091.45696,43542.5224
4/10/2022,42781.08984,43376.37891,42021.20703,42207.67188,17654475582,44.45459504,43912.04885,43516.08972
4/11/2022,42201.03906,42424.58984,39373.05859,39521.90234,33949912166,36.41624202,43493.93966,43436.9969
4/12/2022,39533.71484,40617.58594,39388.32813,40127.18359,30991500854,39.07628407,43173.29623,43371.45604
4/13/2022,40123.57031,41430.05469,39712.74609,41166.73047,27691105228,43.43110299,42982.19473,43327.79811
4/14/2022,41160.21875,41451.48047,39695.74609,39935.51563,24342001973,39.81925217,42692.03481,43260.6242
4/15/2022,39939.40234,40617.72266,39866.83203,40553.46484,21756855753,42.39538579,42488.36148,43207.01708
4/16/2022,40552.31641,40633.67969,40078.42578,40424.48438,16833150693,41.99338576,42291.80176,43151.91742
4/17/2022,40417.77734,40570.72656,39620.89453,39716.95313,19087633042,39.77661776,42046.57808,43083.89833
4/18/2022,39721.20313,40986.32031,38696.19141,40826.21484,33705182072,44.68184013,41930.35301,43039.19173
4/19/2022,40828.17578,41672.96094,40618.63281,41502.75,25303206547,47.47734221,41889.62891,43008.76714
4/20/2022,41501.74609,42126.30078,40961.09766,41374.37891,27819532341,46.99452862,41840.55748,42976.40301
4/21/2022,41371.51563,42893.58203,40063.82813,40527.36328,35372786395,43.84259716,41715.49137,42927.90718
4/22/2022,40525.86328,40777.75781,39315.41797,39740.32031,28011716745,41.09834481,41527.37984,42864.78665
4/23/2022,39738.72266,39935.85938,39352.20313,39486.73047,16138021249,40.22905569,41333.03228,42797.89444
4/24/2022,39478.375,39845.92578,39233.53906,39469.29297,17964398167,40.16646365,41155.5333,42731.98154
4/25/2022,39472.60547,40491.75391,38338.37891,40458.30859,35445730570,45.33503472,41089.13095,42686.95832
4/26/2022,40448.42188,40713.89063,37884.98438,38117.46094,34569088416,37.18858017,40806.11475,42596.47322
4/27/2022,38120.30078,39397.91797,37997.3125,39241.12109,30981015184,42.50242949,40657.06774,42530.0306
4/28/2022,39241.42969,40269.46484,38941.42188,39773.82813,33903704907,44.87142408,40572.94968,42475.45234
